ts	phase	decision	why	evidence	result
2026-09-03T01:30:00Z	clean-game-name	implemented clean game title normalization and window title extraction	normalize ugly process stems like Discovery-D and VALORANT-Win64-Shipping to The Finals and Valorant	crates/app-controller/src/controller.rs:clean_game_name	tests green
2026-09-03T01:45:00Z	bitrate-and-fidelity-controls	expanded bitrate presets with OBS CQP equivalents and added live-game fidelity guide	enable users to configure 50-80 Mbps HEVC/AV1 Clarity mode so high-motion game captures look identical to the live game	apps/desktop/src/App.tsx:BITRATE_PRESETS	typecheck, lint, and build green
2026-09-03T02:00:00Z	multi-track-audio-verification-and-tagging	tagged discrete audio tracks with human-readable names in MP4 hdlr container metadata	ensure multiple audio tracks are saved as discrete named streams in MP4 files recognizable in video players and editors	crates/mp4-silk/src/track.rs:track_name, crates/muxer/src/mp4_muxer.rs	tests green, formatting green
2026-09-03T02:15:00Z	hud-compact-geometry-and-halo-fix	sized compact HUD surface exactly to 180x38 DIPs and removed 320x56 offset clipping	fix cropped right side of compact HUD pill and eliminate transparent rectangular halo artifact around overlay	crates/native-hud/src/geometry.rs:physical_size_for_mode, apps/desktop/src/App.css	tests green, frontend build green
2026-09-03T02:30:00Z	in-app-clip-player-and-thumbnails	implemented in-app video playback and rich clip thumbnails in library	allow users to watch and review saved clips directly inside Silk	apps/desktop/src/ClipThumbnail.tsx, apps/desktop/src/ClipPlayerModal.tsx	frontend typecheck, lint, build green
2026-09-03T02:40:00Z	clip-trimmer-and-audio-track-selector	implemented lossless in-app clip trimming and per-track audio isolation	allow users to shorten clips and mute desktop or mic tracks without re-encoding quality loss	apps/desktop/src/ClipPlayerModal.tsx:trimClip, apps/desktop/src-tauri/src/main.rs:trim_clip	backend and frontend green
2026-09-03T02:50:00Z	vod-review-markers-and-notes	added 5-color VOD review markers and timestamped notes onto video timeline	give competitive players timeline bookmarks and timestamped coaching notes for reviewing fights	apps/desktop/src/ClipPlayerModal.tsx:markers	frontend typecheck, lint, build green
2026-09-03T03:00:00Z	ram-and-resource-profiling	audited buffer pipelines and added lazy intersection-observer thumbnail virtualization	keep frontend memory footprint minimal (<30MB) while maintaining bounded 8-frame staging and zero-copy Arc packet retention	crates/capture-windows/src/session.rs:STAGING_RING_SIZE, apps/desktop/src/ClipThumbnail.tsx:IntersectionObserver	typecheck, lint, and build green
2026-09-03T03:30:00Z	native-rust-mp4-trimmer	implemented pure-Rust lossless MP4 trimming in mp4-silk with zero FFmpeg dependency	enable anyone to download Silk and trim clips out of the box with zero external tools or setup	crates/mp4-silk/src/trim.rs:trim_mp4_file, apps/desktop/src-tauri/src/main.rs:trim_clip	tests green, formatting green
2026-09-03T03:50:00Z	keyframe-snapping-and-visual-gop-markers	exposed keyframe timestamps and added visual GOP tick marks with snap-to-cut	prevent black screen / gray macroblocking on trimmed clips by ensuring cut boundaries align with keyframes	crates/mp4-silk/src/track.rs:keyframe_timestamps_seconds, apps/desktop/src/ClipPlayerModal.tsx:.clip-keyframe-tick	typecheck, lint, and build green
2026-09-03T04:10:00Z	hevc-decode-fallback-guard-and-store-protocol	added HEVC decode error interception with 1-click store protocol installer and external player fallback	prevent black-screen video playback in WebView2 when Windows lacks HEVC extensions, providing immediate 1-click fix	apps/desktop/src/ClipPlayerModal.tsx:handleVideoError, apps/desktop/src-tauri/src/main.rs:open_url	typecheck, lint, and build green
2026-09-03T04:25:00Z	ctts-b-frame-trimmer-support	evaluated both DTS and PTS with ctts composition offsets in trim.rs to preserve B-frames	guarantee 100% frame-perfect A/V synchronization and avoid dropping reordered B-frames on imported files	crates/mp4-silk/src/trim.rs:sample_rendering_offset, crates/mp4-silk/src/track.rs:sample_pts	tests green, formatting green
2026-09-03T04:35:00Z	hevc-fallback-universal-switch	added 1-click Switch to H.264 button and dual web/protocol store URLs in player banner	ensure users on stripped Enterprise Windows or without HEVC can switch to universal playback in one click	apps/desktop/src/ClipPlayerModal.tsx:handleSwitchToH264	typecheck, lint, and build green
2026-09-04T23:00:00Z	capture-resilience-and-error-save	increased display recovery retries with progressive backoff, clamped backward PTS jitter, and allowed saving buffered replay during error state	prevent clip rejection when games launch, display modes change, or minor clock jitter occurs	crates/app-controller/src/controller.rs, crates/recorder-engine/src/engine.rs, crates/capture-windows/src/session.rs	tests & clippy green
